stream_id,frame_id,region_id,area,centroid_x,centroid_y,mean_depth,minimum_depth,aspect_ratio,solidity,extent,elevation,bounding_box,estimated_size_w,estimated_size_h
-5OCPnbrwJdu3jH70ieU7pUiFsOJQoeG,0,2,140274,724,1026,4.961456775665283,2.0,2.962962962962963,0.31264090114325643,0.25367838541666665,foot_level,0;496;2208;1242,6.615275700887044,2.2326555490493774
-5OCPnbrwJdu3jH70ieU7pUiFsOJQoeG,0,1,1233,1062,546,5.527616500854492,4.12109375,0.8904109589041096,0.43326308394801544,0.25995785036880925,head_level,1038;496;1150;622,0.3742657005786896,0.42032917141914367
-5OCPnbrwJdu3jH70ieU7pUiFsOJQoeG,20,1,16681,1319,860,4.084059238433838,2.0,0.7361111111111112,0.21024936508636716,0.12142950733752621,foot_level,1154;496;1702;1242,1.3528446227312088,1.837826657295227
-5OCPnbrwJdu3jH70ieU7pUiFsOJQoeG,20,2,65216,129,862,4.7103095054626465,3.033203125,0.4398148148148148,0.8822518787075304,0.7945480019493177,foot_level,0;496;327;1242,0.9322487562894821,2.119639277458191
-5OCPnbrwJdu3jH70ieU7pUiFsOJQoeG,40,1,2304,2109,857,3.8837525844573975,3.759765625,5.576923076923077,0.961410095953275,0.6112732095490716,foot_level,1957;831;2208;876,0.5866084632774194,0.10518496582905451
-5OCPnbrwJdu3jH70ieU7pUiFsOJQoeG,40,2,137823,777,857,4.904708385467529,2.0,2.111111111111111,0.36155842929341286,0.34981877436647174,foot_level,0;496;1573;1242,4.659472966194153,2.207118773460388
-5OCPnbrwJdu3jH70ieU7pUiFsOJQoeG,60,1,2075,2171,1147,3.3594119548797607,2.0234375,0.84375,0.9644434115733209,0.6004050925925926,foot_level,2114;1086;2208;1197,0.18896692246198654,0.22396079699198404
-5OCPnbrwJdu3jH70ieU7pUiFsOJQoeG,60,2,253157,938,802,3.8051185607910156,2.0,2.564814814814815,0.5439620709697451,0.5288923569327451,mid_level,0;496;1911;1242,4.391741005579631,1.712303352355957
-5OCPnbrwJdu3jH70ieU7pUiFsOJQoeG,80,1,1091,2175,755,3.1785736083984375,2.025390625,1.1538461538461537,0.8752507019655034,0.6216524216524216,mid_level,2130;717;2208;784,0.14899563789367676,0.12912955284118652
-5OCPnbrwJdu3jH70ieU7pUiFsOJQoeG,80,2,185440,603,736,4.35170316696167,2.0,2.4837962962962963,0.4865882890081041,0.4000563063063063,mid_level,0;496;1850;1242,4.863934893906117,1.9582664251327515
